"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Adams County, PA"	"42001"	"1999"	"1999"	Suppressed	90363	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2000"	"2000"	Suppressed	91292	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2001"	"2001"	Suppressed	92591	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2002"	"2002"	Suppressed	93934	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2003"	"2003"	Suppressed	95503	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2004"	"2004"	11	97300	Unreliable	Unreliable	0.0%
	"Adams County, PA"	"42001"	"2005"	"2005"	Suppressed	98606	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2006"	"2006"	Suppressed	99899	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2007"	"2007"	Suppressed	100502	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2008"	"2008"	11	101056	Unreliable	Unreliable	0.0%
	"Adams County, PA"	"42001"	"2009"	"2009"	16	101252	Unreliable	Unreliable	0.0%
	"Adams County, PA"	"42001"	"2010"	"2010"	14	101407	Unreliable	Unreliable	0.0%
	"Adams County, PA"	"42001"	"2011"	"2011"	11	101434	Unreliable	Unreliable	0.0%
	"Adams County, PA"	"42001"	"2012"	"2012"	Suppressed	101482	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2013"	"2013"	Suppressed	101546	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2014"	"2014"	Suppressed	101714	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2015"	"2015"	Suppressed	102295	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2016"	"2016"	26	102180	25.4	28.2	0.1%
	"Allegheny County, PA"	"42003"	"1999"	"1999"	135	1287247	10.5	10.3	0.4%
	"Allegheny County, PA"	"42003"	"2000"	"2000"	140	1281666	10.9	10.9	0.4%
	"Allegheny County, PA"	"42003"	"2001"	"2001"	119	1272416	9.4	9.4	0.3%
	"Allegheny County, PA"	"42003"	"2002"	"2002"	147	1265577	11.6	11.5	0.4%
	"Allegheny County, PA"	"42003"	"2003"	"2003"	202	1258420	16.1	16.3	0.5%
	"Allegheny County, PA"	"42003"	"2004"	"2004"	203	1247531	16.3	16.4	0.5%
	"Allegheny County, PA"	"42003"	"2005"	"2005"	215	1234787	17.4	17.7	0.6%
	"Allegheny County, PA"	"42003"	"2006"	"2006"	153	1226025	12.5	12.5	0.4%
	"Allegheny County, PA"	"42003"	"2007"	"2007"	207	1222482	16.9	16.5	0.6%
	"Allegheny County, PA"	"42003"	"2008"	"2008"	224	1221071	18.3	18.5	0.6%
	"Allegheny County, PA"	"42003"	"2009"	"2009"	222	1222171	18.2	17.5	0.6%
	"Allegheny County, PA"	"42003"	"2010"	"2010"	237	1223348	19.4	19.3	0.6%
	"Allegheny County, PA"	"42003"	"2011"	"2011"	249	1227066	20.3	21.0	0.7%
	"Allegheny County, PA"	"42003"	"2012"	"2012"	283	1229338	23.0	22.7	0.8%
	"Allegheny County, PA"	"42003"	"2013"	"2013"	273	1231527	22.2	22.0	0.7%
	"Allegheny County, PA"	"42003"	"2014"	"2014"	319	1231255	25.9	26.1	0.9%
	"Allegheny County, PA"	"42003"	"2015"	"2015"	422	1230459	34.3	34.3	1.1%
	"Allegheny County, PA"	"42003"	"2016"	"2016"	635	1225365	51.8	52.0	1.7%
	"Armstrong County, PA"	"42005"	"1999"	"1999"	Suppressed	72572	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2000"	"2000"	Suppressed	72392	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2001"	"2001"	Suppressed	71956	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2002"	"2002"	Suppressed	71747	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2003"	"2003"	Suppressed	71645	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2004"	"2004"	Suppressed	71404	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2005"	"2005"	Suppressed	70602	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2006"	"2006"	16	70030	Unreliable	Unreliable	0.0%
	"Armstrong County, PA"	"42005"	"2007"	"2007"	Suppressed	69845	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2008"	"2008"	10	69611	Unreliable	Unreliable	0.0%
	"Armstrong County, PA"	"42005"	"2009"	"2009"	Suppressed	69120	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2010"	"2010"	14	68941	Unreliable	Unreliable	0.0%
	"Armstrong County, PA"	"42005"	"2011"	"2011"	15	68568	Unreliable	Unreliable	0.0%
