"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2006"	"2006"	Suppressed	51328	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2007"	"2007"	Suppressed	52405	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2008"	"2008"	Suppressed	53277	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	54135	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2010"	"2010"	Suppressed	54571	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2011"	"2011"	Suppressed	55267	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2012"	"2012"	Suppressed	55514	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2013"	"2013"	Suppressed	55246	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2014"	"2014"	Suppressed	55395	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2015"	"2015"	Suppressed	55347	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2016"	"2016"	Suppressed	55416	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	"2006"	"2006"	22	168121	13.1	0.0%
	"Baldwin County, AL"	"01003"	"2007"	"2007"	29	172404	16.8	0.0%
	"Baldwin County, AL"	"01003"	"2008"	"2008"	27	175827	15.4	0.0%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	32	179406	17.8	0.0%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	26	182265	14.3	0.0%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	24	186717	12.9	0.0%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	34	190790	17.8	0.0%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	23	195540	11.8	0.0%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	40	200111	20.0	0.0%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	43	203709	21.1	0.0%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	34	208563	16.3	0.0%
	"Barbour County, AL"	"01005"	"2006"	"2006"	Suppressed	27861	Suppressed	Suppressed
