metro,hoagie,hero,grinder,blimpie
Philadelphia PA,95,4,1,1
Wilkes Barre-Scranton PA,96,3,1,
Cleveland-Akron (Canton) OH,9,89,2,1
Harrisburg-Lancaster-Lebanon-York PA,89,9,2,
Pittsburgh PA,90,8,2,
Johnstown-Altoona PA,91,6,3,
Boise ID,,10,5,85
Amarillo TX,85,12,3,
Burlington VT-Plattsburgh NY,66,27,7,
Augusta GA,,14,4,82
Tallahassee FL-Thomasville GA,90,7,3,
Salisbury MD,91,6,3,
Dayton OH,65,32,3,
Santa Barbara-Santa Maria-San Luis Obispo CA,77,16,7,
Chicago IL,21,27,51,1
Charlotte NC,72,24,4,
Birmingham AL,,93,7,
Wheeling WV-Steubenville OH,83,17,,
Cincinnati OH,68,29,3,
Toledo OH,40,55,5,
Rochester NY,75,18,7,
Chattanooga TN,75,20,5,
Buffalo NY,67,22,11,
Oklahoma City OK,67,30,3,
Portland OR,18,67,15,
Lansing MI,,89,11,
Florence-Myrtle Beach SC,69,27,4,
Detroit MI,54,22,9,15
Zanesville OH,,100,,
Erie PA,81,19,,
Portland-Auburn ME,63,22,15,
Youngstown OH,,95,5,
Greensboro-High Point-Winston Salem NC,24,69,7,
Marquette MI,,79,21,
Medford-Klamath Falls OR,,93,7,
Washington DC (Hagerstown MD),61,28,7,4
Eugene OR,,85,15,
New York NY,26,41,8,25
Tampa-St. Petersburg (Sarasota) FL,39,50,6,5
Springfield-Holyoke MA,,36,64,
Ft. Myers-Naples FL,61,29,10,
Columbus OH,40,52,8,
Lima OH,,76,24,
Baltimore MD,40,54,6,
Columbus GA,,57,6,37
Miami-Ft. Lauderdale FL,63,27,6,4
Mankato MN,,76,24,
Butte-Bozeman MT,,83,17,
Grand Rapids-Kalamazoo-Battle Creek MI,15,42,13,30
West Palm Beach-Ft. Pierce FL,58,32,10,
Bangor ME,,78,22,
Hartford & New Haven CT,16,28,42,14
Columbia SC,29,30,3,38
Abilene-Sweetwater TX,,71,29,
Sherman TX-Ada OK,,100,,
Minneapolis-St. Paul MN,55,29,16,
Bend OR,,81,19,
Laredo TX,,81,19,
San Francisco-Oakland-San Jose CA,52,34,14,
Utica NY,,74,26,
Raleigh-Durham (Fayetteville) NC,34,52,14,
Flint-Saginaw-Bay City MI,23,63,14,
Orlando-Daytona Beach-Melbourne FL,54,37,9,
Indianapolis IN,50,34,16,
Omaha NE,25,27,11,37
Tucson (Sierra Vista) AZ,48,31,21,
St. Joseph MO,,100,,
Knoxville TN,49,34,17,
Albany-Schenectady-Troy NY,51,34,15,
Austin TX,26,55,19,
Louisville KY,31,54,15,
Lincoln & Hastings-Kearney NE,,80,20,
Ft. Smith-Fayetteville-Springdale-Rogers AR,,85,15,
Las Vegas NV,29,62,9,
Syracuse NY,,84,16,
Rockford IL,,48,52,
Corpus Christi TX,,68,32,
Cheyenne WY-Scottsbluff NE,,100,,
Charleston SC,48,46,6,
Traverse City-Cadillac MI,,73,27,
Dallas-Ft. Worth TX,26,56,13,5
Norfolk-Portsmouth-Newport News VA,49,39,12,
Savannah GA,41,43,16,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,,65,35,
