metro,hoagie,hero,grinder,subs
Cheyenne WY-Scottsbluff NE,,1,,99
Jacksonville FL,2,1,1,97
Buffalo NY,6,1,1,93
Salisbury MD,11,1,1,89
Augusta GA,,3,1,97
Tallahassee FL-Thomasville GA,15,1,1,84
Mobile AL-Pensacola (Ft. Walton Beach) FL,2,2,1,95
Orlando-Daytona Beach-Melbourne FL,4,2,1,94
Greenville-New Bern-Washington NC,,2,1,98
Columbia SC,3,3,1,94
Knoxville TN,3,2,1,94
Florence-Myrtle Beach SC,7,2,1,91
San Angelo TX,,1,,99
Raleigh-Durham (Fayetteville) NC,2,4,1,93
Greensboro-High Point-Winston Salem NC,2,6,1,92
Savannah GA,3,3,1,93
Gainesville FL,,3,1,97
West Palm Beach-Ft. Pierce FL,5,2,1,93
Macon GA,,2,1,97
Miami-Ft. Lauderdale FL,5,2,1,93
Norfolk-Portsmouth-Newport News VA,3,3,1,93
Wilmington NC,,3,1,97
Philadelphia PA,70,2,1,27
Greenville-Spartanburg SC-Asheville NC-Anderson SC,3,1,1,95
Tampa-St. Petersburg (Sarasota) FL,5,6,1,89
Watertown NY,,1,2,97
Roanoke-Lynchburg VA,,3,1,97
Charleston SC,4,3,1,93
Richmond-Petersburg VA,2,3,1,95
Baltimore MD,4,6,1,90
Phoenix AZ,2,3,1,94
Milwaukee WI,2,3,2,93
Charlotte NC,11,3,1,86
Rochester NY,9,2,1,89
Reno NV,,3,1,96
Dothan AL,,1,2,97
Dayton OH,14,7,1,79
Hattiesburg-Laurel MS,,2,,98
Panama City FL,,3,1,97
Atlanta GA,3,2,1,94
Davenport IA-Rock Island-Moline IL,,4,1,95
Columbia-Jefferson City MO,,2,1,97
Biloxi-Gulfport MS,,3,1,97
Erie PA,8,1,,91
Memphis TN,3,1,1,96
Elmira NY,,4,2,94
Denver CO,3,3,1,93
Grand Rapids-Kalamazoo-Battle Creek MI,2,6,1,91
Ft. Myers-Naples FL,7,3,1,89
Johnstown-Altoona PA,26,1,1,72
Harrisonburg VA,,1,1,98
Clarksburg-Weston WV,,1,,99
Wilkes Barre-Scranton PA,46,1,1,53
Lubbock TX,,2,1,97
Kansas City MO,2,3,2,93
Victoria TX,,,,100
Washington DC (Hagerstown MD),8,3,1,88
Green Bay-Appleton WI,,1,2,97
Madison WI,,4,1,95
Syracuse NY,,5,1,95
Columbus OH,5,7,1,87
Pittsburgh PA,30,2,1,68
Albany GA,,2,1,97
Chattanooga TN,10,3,1,87
Detroit MI,9,4,1,86
Harrisburg-Lancaster-Lebanon-York PA,32,3,1,65
Odessa-Midland TX,,3,1,96
Las Vegas NV,3,5,1,92
St. Louis MO,3,3,1,93
Cleveland-Akron (Canton) OH,4,40,1,56
Binghamton NY,,4,1,95
Huntsville-Decatur (Florence) AL,,3,1,97
Austin TX,2,5,2,91
Nashville TN,3,4,1,92
Abilene-Sweetwater TX,,7,2,91
Boston MA-Manchester NH,3,4,2,91
Wichita Falls TX & Lawton OK,,2,2,96
Presque Isle ME,,,,100
Columbus GA,,8,1,91
Ft. Wayne IN,,4,1,95
Birmingham AL,,13,1,86
La Crosse-Eau Claire WI,,5,1,94
Toledo OH,8,11,1,80
Jackson TN,,3,2,95
Montgomery (Selma) AL,,4,1,96
Tucson (Sierra Vista) AZ,6,4,2,88
Youngstown OH,,11,1,89
Albany-Schenectady-Troy NY,6,4,1,89
Lexington KY,4,3,1,92
Chicago IL,6,7,14,73
Jonesboro AR,,4,4,92
Omaha NE,4,5,1,90
Little Rock-Pine Bluff AR,,5,1,94
South Bend-Elkhart IN,,5,3,92
Flint-Saginaw-Bay City MI,2,7,1,90
Cincinnati OH,13,5,1,82
Sherman TX-Ada OK,,7,,93
Indianapolis IN,7,4,2,87
Amarillo TX,29,4,1,66
Colorado Springs-Pueblo CO,,4,2,94
Bowling Green KY,,4,2,94
Columbus-Tupelo-West Point MS,,1,,99
Monroe LA-El Dorado AR,,4,,96
Ft. Smith-Fayetteville-Springdale-Rogers AR,,7,1,92
